Date,Open,High,Low,Close*,Adj. close**,Volume
01-Dec-16,"2,200.17","2,277.53","2,187.44","2,238.83","2,238.83","75,25,12,40,000"
01-Nov-16,"2,128.68","2,214.10","2,083.79","2,198.81","2,198.81","88,29,97,60,000"
01-Oct-16,"2,164.33","2,169.60","2,114.72","2,126.15","2,126.15","73,19,66,30,000"
01-Sep-16,"2,171.33","2,187.87","2,119.12","2,168.27","2,168.27","77,27,02,40,000"
01-Aug-16,"2,173.15","2,193.81","2,147.58","2,170.95","2,170.95","75,61,03,10,000"
01-Jul-16,"2,099.34","2,177.09","2,074.02","2,173.60","2,173.60","69,53,02,50,000"
01-Jun-16,"2,093.94","2,120.55","1,991.68","2,098.86","2,098.86","86,85,27,00,000"
01-May-16,"2,067.17","2,103.48","2,025.91","2,096.95","2,096.95","78,88,36,00,000"
01-Apr-16,"2,056.62","2,111.05","2,033.80","2,065.30","2,065.30","81,12,49,90,000"
01-Mar-16,"1,937.09","2,072.21","1,937.09","2,059.74","2,059.74","92,63,94,20,000"
01-Feb-16,"1,936.94","1,962.96","1,810.10","1,932.23","1,932.23","93,04,95,60,000"
01-Jan-16,"2,038.20","2,038.20","1,812.29","1,940.24","1,940.24","92,40,97,70,000"
01-Dec-15,"2,082.93","2,104.27","1,993.26","2,043.94","2,043.94","83,64,92,60,000"
01-Nov-15,"2,080.76","2,116.48","2,019.39","2,080.41","2,080.41","75,94,35,90,000"
01-Oct-15,"1,919.65","2,094.32","1,893.70","2,079.36","2,079.36","85,84,49,00,000"
01-Sep-15,"1,970.09","2,020.86","1,871.91","1,920.03","1,920.03","79,98,93,70,000"
01-Aug-15,"2,104.49","2,112.66","1,867.01","1,972.18","1,972.18","84,62,67,90,000"
01-Jul-15,"2,067.00","2,132.82","2,044.02","2,103.84","2,103.84","77,92,05,90,000"
01-Jun-15,"2,108.64","2,129.87","2,056.32","2,063.11","2,063.11","73,21,39,80,000"
01-May-15,"2,087.38","2,134.72","2,067.93","2,107.39","2,107.39","65,18,77,30,000"
01-Apr-15,"2,067.63","2,125.92","2,048.38","2,085.51","2,085.51","72,06,09,40,000"
01-Mar-15,"2,105.23","2,117.52","2,039.69","2,067.89","2,067.89","76,67,58,50,000"
01-Feb-15,"1,996.67","2,119.59","1,980.90","2,104.50","2,104.50","68,77,55,60,000"
01-Jan-15,"2,058.90","2,072.36","1,988.12","1,994.99","1,994.99","77,33,00,40,000"
01-Dec-14,"2,065.78","2,093.55","1,972.56","2,058.90","2,058.90","80,74,38,20,000"
01-Nov-14,"2,018.21","2,075.76","2,001.01","2,067.56","2,067.56","63,60,01,90,000"
01-Oct-14,"1,971.44","2,018.19","1,820.66","2,018.05","2,018.05","93,71,40,40,000"
01-Sep-14,"2,004.07","2,019.26","1,964.04","1,972.29","1,972.29","66,70,60,00,000"
